,Station_code,mean_station_delay,std_station_delay
0,WEY,0.7210558624923266,4.146036271333138
1,UPW,1.762585324232082,4.77259166561674
2,DCH,1.0575813382443218,4.846717165561898
3,MTN,2.053621021149327,5.437514930202341
4,WOO,2.847254365663791,6.305179092622213
5,WRM,1.3625537139349293,5.230708532203286
6,HAM,1.7814610190300797,5.489843728360713
7,POO,0.8798035604665438,5.821503053362293
8,PKS,1.0287122348403686,6.011136838127839
9,BSM,1.719305763874009,6.157914254193245
10,BMH,1.4763015717092338,6.609894620170807
11,NWM,3.0119150779896016,19.98385233652839
12,BCU,2.968815224063843,16.023995387424222
13,SOU,3.561694290976059,16.40868660638954
14,FRM,3.282608695652174,5.577023370180528
15,HAV,2.7467248908296944,5.452872268905676
16,GLD,-14.643478260869566,161.5589008712642
17,WOK,2.458085555342413,58.32450849178658
18,CLJ,1.901859735603854,99.1435681836387
19,WAT,0.0,0.0
251,POK,1.2856460472892286,20.833758113807384
252,CHR,1.345033428844317,20.827131050493723
253,HNA,1.709933774834437,47.42741872670107
255,SWY,3.353723404255319,47.41209413787344
257,ANF,3.957805907172996,48.86853208782327
258,TTN,3.692202462380301,48.425535909850424
272,HOL,2.0117937465715854,4.75139118661075
1441,SOA,3.1671298635674585,16.44327482814701
1442,WIN,3.9519959575543204,16.586014088868467
1476,BSK,4.755946935041171,30.886922256128383
1780,ESL,0.8621553884711779,64.57980568939735
1781,SHW,1.2476780185758514,71.8001493484172
